年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間)
2017/1/1,7.4,13.3,2.6,0,9.2
2017/1/2,7.6,13.1,2,0,8.5
2017/1/3,8.6,12.3,4.9,0,3.8
2017/1/4,6.9,12.2,2.7,0,4.6
2017/1/5,5.8,9.8,2.8,0,8.4
2017/1/6,4.9,9.5,1.8,0,6.5
2017/1/7,5.4,11.5,0.1,0,8.4
2017/1/8,4.4,6.1,3,13.5,0
2017/1/9,8.1,14,4.6,0,6.3
2017/1/10,7.4,12,3.6,0,4.4
2017/1/11,4.9,8.3,3.3,0,3.5
2017/1/12,5.2,7.7,2.7,0,2.8
2017/1/13,4.4,9.9,1.1,0,3.9
2017/1/14,0.2,2.9,-2.4,4,0.5
2017/1/15,-0.4,3,-3.6,1,5.9
2017/1/16,1.8,5.2,-0.6,0.5,6.9
2017/1/17,3.4,9,-1,0,7.4
2017/1/18,4.2,9.2,-1.4,0,9.3
2017/1/19,5.8,10.6,1.8,0,6.7
2017/1/20,3.9,8.8,0.2,0,2.8
2017/1/21,4.6,8.6,1.7,1,9.3
2017/1/22,4,11.5,-0.3,0,5.2
2017/1/23,2,6.1,-0.4,0,6.5
2017/1/24,1,5.1,-2.5,0,6.1
2017/1/25,2.2,8.4,-2.5,0,9.7
2017/1/26,3.5,10.1,-1.7,0,10
2017/1/27,5.3,12.7,-0.3,0,2.6
2017/1/28,6.5,12.9,1.3,0,9.5
2017/1/29,6.8,13,0.9,3.5,5.9
2017/1/30,7.5,13.3,4.8,1,2.7
2017/1/31,4.1,8.5,1.3,0,10.1
2017/2/1,3.2,7.5,-1.5,0,4.8
2017/2/2,4,8.5,0.3,0,7
2017/2/3,5.8,11.9,0.7,0,9.7
2017/2/4,6.6,14.2,0.3,0,10.2
2017/2/5,4.4,5.5,2.5,10.5,0
2017/2/6,6.2,10.4,2.5,0,6.6
2017/2/7,3.6,7.5,1.7,0,8.4
2017/2/8,4.4,9.4,-0.3,0,7.8
2017/2/9,3.2,4.5,1.9,1,0
2017/2/10,3.6,8.7,0.8,0,7.3
2017/2/11,1.1,4.3,-1,1,1.6
2017/2/12,2.8,8.3,-0.6,0,9.6
2017/2/13,3.4,10.2,-0.8,0,9
2017/2/14,3.3,8.4,-0.8,0,5.4
2017/2/15,4.7,11,-0.3,0,9.8
2017/2/16,6.8,13.8,-0.4,0,9.9
2017/2/17,7.1,9.1,4.6,0,0
2017/2/18,7.2,12.3,3.3,0,3.9
2017/2/19,5.7,10.8,1.7,0,10.7
2017/2/20,6.6,11.9,4.2,9,0.1
2017/2/21,3.7,7.5,1.3,0,9.9
2017/2/22,5.8,12.2,-0.5,2,6.4
2017/2/23,9.3,15.3,6.5,24.5,0.8
2017/2/24,5.7,10.1,2.7,0,10.5
2017/2/25,5.9,11.4,0.1,0,9.8
2017/2/26,7,13.5,1.9,0,8
2017/2/27,6.8,13,2.9,0,10.4
2017/2/28,6.7,13.1,1.2,0,8.8
2017/3/1,6.3,13.6,0.8,2.5,5
2017/3/2,6.8,9.6,5.5,5,0.9
2017/3/3,7.6,11.9,3.7,0,10.7
2017/3/4,7.8,15.4,0.9,0,9.3
2017/3/5,10,16.7,2.8,0,7.3
2017/3/6,9.9,12.9,6.9,0,0
2017/3/7,4.9,9.4,2,0,5.5
2017/3/8,4.4,9.7,1.3,0,8.6
2017/3/9,6,11.7,0.9,0,7.6
2017/3/10,6.4,11.8,2.2,0,5.7
2017/3/11,6.9,13.4,1.7,0,11.2
2017/3/12,7.9,15.5,1.4,0,8.8
2017/3/13,9.6,15.2,5.5,0,2
2017/3/14,9.4,14.4,5.3,0,6.4
2017/3/15,7.1,12.3,3.2,0,9
2017/3/16,8.1,14,4.4,0,11.2
2017/3/17,8.4,15.1,3.2,0,11.4
2017/3/18,9.5,15.5,3.6,0,7.2
2017/3/19,11.3,17.6,5.2,0,10.5
2017/3/20,12,18.5,6.2,0,8.6
2017/3/21,8.8,11.3,7,38.5,0.1
2017/3/22,8.9,14,4.4,0,11.4
2017/3/23,9.3,15.3,4.8,0,4.9
2017/3/24,8.2,12.5,4.7,0,10.9
2017/3/25,7.9,13.8,2.7,0,3.9
2017/3/26,7.9,9.2,6.7,14.5,0
2017/3/27,9,14.1,4.9,3.5,11.5
2017/3/28,9.5,16.3,3.9,0,11.3
2017/3/29,10.5,17.1,4.6,0,8.9
2017/3/30,13,20.2,7.2,0,6.9
2017/3/31,8.6,12,6.1,10,0
2017/4/1,8,11.2,5.9,2.5,0.6
2017/4/2,10.1,17.2,4.3,0,12
2017/4/3,11.2,18.4,4.2,0,11.6
2017/4/4,13.2,20.8,6.6,0,11.9
2017/4/5,13.8,19.9,8,0,6.6
2017/4/6,15.2,20.9,12.7,9,2
2017/4/7,17,20.3,14.8,18,0.3
2017/4/8,17.8,20,16.5,21.5,0
2017/4/9,16,20,12,10,3.8
2017/4/10,12.4,15.1,10.1,0,0.4
2017/4/11,10.6,12.2,8.8,31,0
2017/4/12,13.8,19.6,9.4,0,10.2
2017/4/13,12.5,19.8,5.9,0,11.8
2017/4/14,14.9,23.4,7.2,0,11.7
2017/4/15,16,20.9,12.7,3,4.3
2017/4/16,18.3,25.9,11.2,0,10.5
2017/4/17,16.8,21.4,13.9,42.5,2.3
2017/4/18,17.7,21.7,13.3,6,8.8
2017/4/19,14.7,20.4,11.7,0,7.8
2017/4/20,15.4,20.4,9.5,0,5.8
2017/4/21,15.9,19.1,13.6,0,1.1
2017/4/22,15.5,22.1,11.2,0,9.7
2017/4/23,14.9,22.1,8.5,0,12.9
2017/4/24,16,21.7,12,0,7.3
2017/4/25,17,22.2,13.2,0,6.8
2017/4/26,15.5,18.2,13.6,11.5,0
2017/4/27,15,21.1,10.8,0,5
2017/4/28,15.5,22.2,7.9,0,12.4
2017/4/29,14.3,23.5,10.1,3,8
2017/4/30,17.2,25.7,8.5,0,12.4
2017/5/1,17.7,23.5,13.1,0,7.1
2017/5/2,16.6,23.3,10.3,0,12
2017/5/3,17.9,23.1,13.7,0,5.6
2017/5/4,19,23.9,14.5,0,6.5
2017/5/5,20.8,27.7,15,0,12.2
2017/5/6,20.2,25.5,17.1,0,0.3
2017/5/7,20.3,24.9,15.1,0,8.8
2017/5/8,21.5,28.6,13.3,0,12.3
2017/5/9,19.7,24.3,15.8,2,0
2017/5/10,16.5,19.2,14.4,10.5,0
2017/5/11,20.1,25.5,15.2,1,5.5
2017/5/12,22.2,28.9,16.4,0,7
2017/5/13,17.1,21.1,15.8,20,0
2017/5/14,19.9,26.4,15.2,0,7.8
2017/5/15,20.5,25.7,17,0,2.8
2017/5/16,18.6,23.1,14.3,0,3.7
2017/5/17,19,24,14.6,0,6
2017/5/18,20.3,26.9,15.1,0,13.1
2017/5/19,21.6,28.7,15.8,0,13.5
2017/5/20,23.7,31.1,16,0,13.3
2017/5/21,24.4,31.3,18.5,0,11.5
2017/5/22,23,29.3,19,0,12.6
2017/5/23,22.6,28.2,18.6,0,10.5
2017/5/24,21.6,24.9,19.2,0,0.1
2017/5/25,19.7,21.6,18.2,14.5,0
2017/5/26,19.4,23.5,15.1,16.5,0.4
2017/5/27,18.7,24.5,13.3,0,12.4
2017/5/28,20.6,26.7,14.2,0,13.9
2017/5/29,22.3,29.1,14.9,0,13.2
