年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間)
2018/1/1,4.8,9,2.4,0,8.3
2018/1/2,5,9.5,0.9,0,4.9
2018/1/3,3.7,6.8,0.5,0,9.3
2018/1/4,3.1,9,-1.4,0,9.3
2018/1/5,3.4,6.4,1.5,0,0.2
2018/1/6,3.8,9.2,-0.2,0,3.3
2018/1/7,5.3,10.3,1,0,8.3
2018/1/8,5.3,6.6,3.8,15.5,0
2018/1/9,6.5,10.9,2.9,2,2.7
2018/1/10,4.5,10.1,-0.6,0,7.8
2018/1/11,2.6,6.5,0.1,0,8.6
2018/1/12,0.7,6,-3.2,0,7.7
2018/1/13,1.3,6.2,-2.9,0,7.9
2018/1/14,2.8,7.5,-1.1,0,9.3
2018/1/15,5,11.5,-0.7,0,8.8
2018/1/16,7.7,13.9,1.4,0,8.6
2018/1/17,8.8,11.2,6.8,12,0
2018/1/18,9.9,14.6,5.9,0,8.1
2018/1/19,8,12.9,4.5,0,9.3
2018/1/20,6.3,12,1.3,0,8.7
2018/1/21,6.3,11.8,1.5,0,6.5
2018/1/22,3.6,6.1,1.5,10.5,0
2018/1/23,3.7,10.9,-0.1,0,5.2
2018/1/24,0.2,4.7,-2.9,0,7.6
2018/1/25,-1.1,3.5,-3.8,0,8.4
2018/1/26,-0.5,4.7,-2.8,1,6.5
2018/1/27,0.3,5.7,-3.9,0,8.5
2018/1/28,0,3.7,-2.6,0,0.8
2018/1/29,2.6,7.1,-0.5,0,4.9
2018/1/30,2.1,6.1,-1.1,0,6.8
2018/1/31,3.1,7.8,-1.3,0,8
2018/2/1,3.8,6.5,2.1,3,0
2018/2/2,5,9.8,2.2,0,4.3
2018/2/3,5.1,11.4,2,0,9.3
2018/2/4,3.6,7.5,0.7,0,9
2018/2/5,2.1,7.2,0,0,5.1
2018/2/6,1.1,5.8,-2.1,0,9.1
2018/2/7,0.8,6,-3,0,7.7
2018/2/8,1.5,7.5,-3.2,0,8.8
2018/2/9,3,9.1,-2.8,0,9.8
2018/2/10,4.3,9.2,0.1,13.5,1.2
2018/2/11,4.4,8.9,-0.3,0,6.1
2018/2/12,2.3,7.2,-1.4,0,6.9
2018/2/13,2.4,7.3,-1,0,3.1
2018/2/14,3.9,10.2,-1.9,0,9.3
2018/2/15,6.8,13,3.4,0,2.2
